1,2,3,4,5
1170.48937,1235.09484,1130.50999,1135.85482,1292.08899
684.00881,1123.117,967.70494,21.54987,1134.90082
18.13535,17.76623,18.5748,16.16817,18.37201
14.26422,14.29137,14.30224,14.0991,14.52692
13.16064,13.07673,13.14638,13.57236,13.12296
12.91876,12.8566,12.85726,12.99185,12.85412
12.83183,12.7897,12.78534,12.84121,12.75544
12.75909,12.73279,12.71232,12.77842,12.67829
12.73197,12.71162,12.68513,12.74875,12.64856
12.67314,12.68377,12.6711,12.70646,12.5934
13.13201,13.2208,13.25235,13.11425,13.30022
12.6724,12.75833,12.73128,12.67992,12.74332
12.57826,12.66491,12.61349,12.5834,12.61593
12.53733,12.62332,12.56968,12.53218,12.56741
12.52064,12.60689,12.55109,12.51368,12.54948
12.5131,12.59695,12.54169,12.49246,12.54127
12.50324,12.59008,12.53075,12.48108,12.5308
12.4974,12.58513,12.5235,12.47537,12.52463
12.4943,12.58119,12.51649,12.4716,12.51692
12.49203,12.57827,12.5105,12.46197,12.5116
13.17276,12.83616,12.9889,13.05829,13.28257
12.72949,12.44979,12.57121,12.6664,12.882
12.63114,12.37534,12.46896,12.57078,12.78942
12.60087,12.34526,12.43408,12.54478,12.75617
12.59267,12.33627,12.42109,12.53797,12.74894
12.58792,12.33179,12.41545,12.53343,12.74463
12.58364,12.32426,12.40785,12.53046,12.74147
12.58088,12.31955,12.4019,12.5276,12.73909
12.57594,12.31808,12.39996,12.52558,12.73694
12.57209,12.31658,12.39857,12.5216,12.73524
13.12976,13.10671,13.17179,13.19392,13.18679
12.7301,12.72607,12.76095,12.77809,12.77916
12.64414,12.64545,12.65852,12.68771,12.69356
12.61257,12.6143,12.62451,12.65229,12.66327
12.60493,12.60414,12.61815,12.63905,12.65459
12.60096,12.59907,12.61425,12.63288,12.65083
12.59328,12.59284,12.61159,12.62549,12.64596
12.58805,12.58914,12.60916,12.62112,12.64282
12.5868,12.58522,12.60736,12.61723,12.64036
12.5846,12.58176,12.60419,12.61387,12.63814
13.09674,13.29489,13.19088,13.31101,13.17898
12.7061,12.89475,12.79049,12.87525,12.76473
12.62271,12.81318,12.69949,12.7632,12.67561
12.58896,12.77841,12.66561,12.7307,12.64388
12.57377,12.76447,12.65262,12.72139,12.63214
12.56739,12.75849,12.64694,12.71734,12.62761
12.56091,12.75016,12.63768,12.71235,12.62173
12.55708,12.74433,12.63282,12.70907,12.61798
12.55466,12.74273,12.63154,12.70393,12.61657
12.55295,12.74107,12.6301,12.70214,12.61553
13.16531,13.28925,13.37441,13.21131,13.06233
12.76853,12.83982,12.95605,12.77548,12.64487
12.68221,12.73378,12.85691,12.67696,12.55791
12.65121,12.69999,12.82493,12.6427,12.52921
12.64141,12.69176,12.81478,12.63413,12.52184
12.63709,12.68721,12.81042,12.62953,12.5168
12.62763,12.68397,12.80196,12.62381,12.51382
12.62397,12.68094,12.79866,12.62044,12.51099
12.62257,12.67889,12.79705,12.61738,12.50916
12.62162,12.6713,12.79586,12.61532,12.50628
13.08869,13.00627,13.0804,13.12515,12.94435
12.76715,12.70441,12.75166,12.75407,12.61201
12.68725,12.63536,12.67199,12.6633,12.54528
12.6633,12.60987,12.64604,12.63407,12.51553
12.65787,12.60291,12.6402,12.62683,12.50284
12.65527,12.59938,12.63694,12.62339,12.49732
12.6524,12.59511,12.63377,12.6193,12.49022
12.65067,12.59263,12.63169,12.61676,12.48479
12.64496,12.5892,12.62583,12.61305,12.48381
12.64427,12.58652,12.6243,12.61085,12.4826
13.12423,13.26152,13.25767,13.20479,13.24757
12.72982,12.9053,12.85467,12.77237,12.87973
12.65015,12.83531,12.76727,12.67724,12.80998
12.61766,12.80679,12.73473,12.64019,12.77306
12.60659,12.79796,12.72632,12.63032,12.76119
12.60154,12.79303,12.72198,12.62626,12.75472
12.59419,12.78836,12.71718,12.6213,12.74983
12.59026,12.78555,12.71422,12.6182,12.74624
12.58855,12.77848,12.70698,12.61477,12.74352
12.58729,12.77617,12.70601,12.61179,12.74099
12.97006,12.8879,13.08717,13.36279,12.92249
12.55508,12.46677,12.68672,12.92417,12.54001
12.46435,12.36934,12.59938,12.82926,12.46844
12.43393,12.33707,12.56785,12.79746,12.43714
12.42476,12.32484,12.55561,12.78619,12.4266
12.42105,12.31943,12.54998,12.78102,12.42093
12.41143,12.31484,12.54421,12.77601,12.4161
12.40937,12.31217,12.54085,12.77308,12.41312
12.40748,12.30394,12.53759,12.76579,12.40806
12.40619,12.30277,12.53485,12.76491,12.40408
13.21116,12.98885,13.13755,12.92845,13.08265
12.81675,12.56852,12.7798,12.53728,12.65951
12.72376,12.47944,12.69357,12.45782,12.57224
12.69412,12.4454,12.66543,12.42469,12.5397
12.68717,12.43609,12.65757,12.41461,12.53064
12.68404,12.43181,12.65409,12.40982,12.52591
12.68022,12.42719,12.64618,12.406,12.52202
12.67784,12.42456,12.6438,12.4033,12.51931
12.67284,12.41752,12.64191,12.4013,12.51719
12.67148,12.41684,12.64021,12.39855,12.51505
13.01,13.19304,13.15815,13.10049,13.10541
12.58014,12.72395,12.72975,12.68892,12.74582
12.48211,12.62656,12.62429,12.60577,12.6788
12.4492,12.59156,12.59152,12.57583,12.64388
