1,2,3,4,5
1190.60116,1244.06973,1311.75851,1327.57219,1173.45819
1065.49292,1100.86192,1127.55966,1131.04617,1041.66136
4.97971,5.08158,4.44927,4.37604,3.73588
1.49533,1.86121,1.48289,1.76583,1.36989
0.58624,0.74415,0.71756,0.7608,0.64911
0.40604,0.53918,0.54303,0.56939,0.53067
0.3566,0.44086,0.4298,0.45516,0.41664
0.31502,0.38013,0.38224,0.40463,0.37777
0.2946,0.34517,0.32959,0.35491,0.32189
0.26567,0.31404,0.3068,0.33389,0.30256
0.37844,0.40682,0.5377,0.38725,0.38862
0.27616,0.29607,0.31423,0.25932,0.26342
0.25313,0.27003,0.24377,0.2274,0.23401
0.22692,0.23968,0.22891,0.21418,0.21985
0.21704,0.22813,0.22213,0.20883,0.21486
0.21368,0.2233,0.21782,0.20577,0.2109
0.21189,0.22059,0.21489,0.20356,0.20841
0.21028,0.2172,0.2114,0.20176,0.20419
0.20907,0.21505,0.20889,0.20024,0.20133
0.20775,0.20858,0.20381,0.19901,0.20002
0.27727,0.28073,0.25906,0.28654,0.25776
0.22177,0.23293,0.21802,0.22456,0.21404
0.20641,0.21422,0.19958,0.21262,0.1986
0.20128,0.2083,0.19528,0.20792,0.19374
0.19933,0.20656,0.19231,0.20644,0.19237
0.19825,0.20553,0.19113,0.20545,0.19158
0.19515,0.20459,0.18871,0.20466,0.19067
0.19449,0.20383,0.18785,0.20301,0.18987
0.1938,0.20122,0.18723,0.20143,0.18884
0.19323,0.20065,0.18683,0.20097,0.18801
0.25164,0.24482,0.2394,0.27402,0.2415
0.20861,0.21503,0.20556,0.21796,0.19865
0.20003,0.20474,0.19272,0.20563,0.18787
0.19739,0.20163,0.18891,0.20207,0.18397
0.19636,0.20062,0.18787,0.20077,0.18289
0.1949,0.1981,0.18715,0.19998,0.18219
0.19353,0.19737,0.18661,0.19725,0.18137
0.19317,0.19687,0.18618,0.1968,0.18065
0.19142,0.19649,0.18556,0.19652,0.1797
0.191,0.19494,0.18501,0.19611,0.17887
0.243,0.24323,0.25741,0.2577,0.25205
0.20375,0.20129,0.21523,0.2066,0.20662
0.19192,0.19128,0.20324,0.19662,0.19562
0.18771,0.18799,0.20013,0.19352,0.19167
0.18642,0.18703,0.1992,0.19264,0.19068
0.18576,0.18625,0.19861,0.19146,0.1899
0.18464,0.18571,0.1979,0.19063,0.18935
0.18386,0.1851,0.19734,0.19029,0.18819
0.18359,0.18464,0.19704,0.18985,0.18732
0.18333,0.18359,0.19628,0.18942,0.18693
0.23895,0.24936,0.25322,0.25408,0.23843
0.20059,0.20888,0.21056,0.19901,0.20083
0.19146,0.19353,0.19323,0.18517,0.1917
0.18852,0.18931,0.18886,0.18147,0.18885
0.18761,0.18779,0.18755,0.18045,0.18798
0.18707,0.18707,0.18671,0.17974,0.18745
0.18632,0.18611,0.18618,0.17923,0.18665
0.18578,0.18556,0.18428,0.17884,0.18586
0.18549,0.18536,0.18396,0.17802,0.18565
0.18522,0.1847,0.18368,0.17719,0.18524
0.23261,0.2202,0.23197,0.22389,0.2248
0.19523,0.18982,0.19141,0.20195,0.19731
0.18702,0.17966,0.17876,0.19278,0.18912
0.18363,0.17642,0.17503,0.18933,0.18571
0.18284,0.17527,0.17411,0.18818,0.18445
0.1823,0.17456,0.17348,0.18769,0.18386
0.18192,0.174,0.17305,0.18716,0.18333
0.18152,0.17357,0.17259,0.18684,0.18299
0.18123,0.17322,0.17222,0.18663,0.18273
0.18065,0.17281,0.17169,0.18586,0.18204
0.2271,0.2506,0.22166,0.24469,0.24697
0.19598,0.20088,0.19187,0.20983,0.21149
0.1853,0.18986,0.17867,0.19826,0.19884
0.18148,0.18592,0.17565,0.19403,0.19486
0.18028,0.18462,0.17397,0.19289,0.19369
0.17976,0.18415,0.17341,0.19219,0.19313
0.17853,0.18335,0.1721,0.19174,0.19252
0.17828,0.18291,0.1717,0.19129,0.19212
0.17795,0.18264,0.1714,0.19094,0.1916
0.1776,0.18244,0.1712,0.19021,0.19123
0.23533,0.23739,0.24025,0.23219,0.24199
0.19778,0.20248,0.20262,0.19241,0.1972
0.1877,0.19362,0.19316,0.17901,0.18865
0.18564,0.19049,0.18941,0.17489,0.18641
0.18488,0.18973,0.18855,0.17348,0.18558
0.18447,0.18916,0.18792,0.17291,0.18509
0.18315,0.18879,0.18753,0.17163,0.1843
0.18296,0.18763,0.18673,0.17128,0.18379
0.18253,0.18722,0.1862,0.1708,0.18359
0.18231,0.18696,0.18599,0.17038,0.18317
0.22444,0.21865,0.2411,0.23025,0.21305
0.19357,0.19288,0.20343,0.1939,0.18468
0.18446,0.18515,0.19684,0.18565,0.17451
0.1812,0.18241,0.19418,0.18267,0.17103
0.18009,0.1817,0.1935,0.18193,0.16982
0.1796,0.18126,0.19293,0.18142,0.16932
0.17836,0.1809,0.19249,0.18106,0.16891
0.17782,0.18063,0.19167,0.18039,0.16866
0.17713,0.1802,0.19115,0.17986,0.16846
0.17679,0.17981,0.19053,0.17962,0.1683
0.2258,0.23425,0.23613,0.24439,0.25399
0.19624,0.19534,0.20147,0.18895,0.196
0.18451,0.18703,0.19206,0.18004,0.18713
0.18145,0.18441,0.18908,0.17681,0.1848
0.18067,0.18357,0.18756,0.17592,0.18395
0.1803,0.18311,0.18712,0.17534,0.18338
