x,t,u
0.5,0.50251,1.59843
0.5,1.00503,1.59342
0.5,1.50754,1.77445
0.5,2.01005,2.04268
0.5,2.51256,2.21212
0.5,3.01508,2.18571
0.5,3.51759,2.41145
0.5,4.0201,2.3275
0.5,4.52261,2.20687
0.5,5.02513,2.01972
0.5,5.52764,1.71691
0.5,6.03015,1.49758
0.5,6.53266,1.14991
0.5,7.03518,0.83135
0.5,7.53769,0.60985
0.5,8.0402,0.38905
0.5,8.54271,0.27706
0.5,9.04523,-0.017
0.5,9.54774,-0.16055
0.5,10.05025,-0.42759
0.5,10.55276,-0.74428
0.5,11.05528,-0.73988
0.5,11.55779,-0.9416
0.5,12.0603,-1.25564
0.5,12.56281,-1.22791
0.5,13.06533,-1.60925
0.5,13.56784,-1.5716
0.5,14.07035,-1.57495
0.5,14.57286,-1.36587
0.5,15.07538,-1.20376
0.5,15.57789,-1.06757
0.5,16.0804,-0.78995
0.5,16.58291,-0.60132
0.5,17.08543,-0.41433
0.5,17.58794,-0.07872
0.5,18.09045,0.12536
0.5,18.59296,0.29861
0.5,19.09548,0.31697
0.5,19.59799,0.14133
0.5,20.1005,-0.01435
0.5,20.60302,-0.3219
0.5,21.10553,-0.69452
0.5,21.60804,-1.13435
0.5,22.11055,-1.34475
0.5,22.61307,-1.95592
0.5,23.11558,-2.3241
0.5,23.61809,-2.63808
0.5,24.1206,-2.63122
0.5,24.62312,-2.81091
0.5,25.12563,-2.64944
0.5,25.62814,-2.57413
0.5,26.13065,-2.33108
0.5,26.63317,-2.21248
0.5,27.13568,-2.05936
0.5,27.63819,-1.76526
0.5,28.1407,-1.50472
0.5,28.64322,-1.29596
0.5,29.14573,-1.05937
0.5,29.64824,-0.9333
0.5,30.15075,-0.7704
0.5,30.65327,-0.69897
0.5,31.15578,-0.63779
0.5,31.65829,-0.67627
0.5,32.1608,-0.78404
0.5,32.66332,-0.72471
0.5,33.16583,-0.83896
0.5,33.66834,-0.98051
0.5,34.17085,-0.8568
0.5,34.67337,-0.90578
0.5,35.17588,-0.71702
0.5,35.67839,-0.45746
0.5,36.1809,-0.19587
0.5,36.68342,0.24545
0.5,37.18593,0.48583
1,0.50251,1.08507
1,1.00503,1.0585
1,1.50754,1.17451
1,2.01005,1.40579
1,2.51256,1.70113
1,3.01508,2.03078
1,3.51759,2.22437
1,4.0201,2.55167
1,4.52261,2.57157
1,5.02513,2.34385
1,5.52764,2.33023
1,6.03015,2.06132
1,6.53266,1.68656
1,7.03518,1.27614
1,7.53769,0.92817
1,8.0402,0.82535
1,8.54271,0.51957
1,9.04523,0.45346
1,9.54774,0.22404
1,10.05025,0.11524
1,10.55276,-0.1003
1,11.05528,-0.26896
1,11.55779,-0.52733
1,12.0603,-0.63089
1,12.56281,-0.96916
1,13.06533,-1.1637
1,13.56784,-1.24757
1,14.07035,-1.60639
1,14.57286,-1.68403
1,15.07538,-1.55171
1,15.57789,-1.6542
1,16.0804,-1.34657
1,16.58291,-1.37221
1,17.08543,-1.24332
1,17.58794,-0.91633
1,18.09045,-0.82874
1,18.59296,-0.73356
1,19.09548,-0.79464
1,19.59799,-0.98585
1,20.1005,-0.94871
1,20.60302,-1.32172
1,21.10553,-1.53302
1,21.60804,-1.83625
1,22.11055,-2.21159
1,22.61307,-2.40141
1,23.11558,-2.52732
1,23.61809,-2.60251
1,24.1206,-2.64445
1,24.62312,-2.42334
1,25.12563,-2.18863
1,25.62814,-2.14367
1,26.13065,-1.91954
1,26.63317,-1.75094
1,27.13568,-1.40831
1,27.63819,-1.30182
1,28.1407,-1.13931
1,28.64322,-1.0533
1,29.14573,-0.8249
1,29.64824,-0.80397
1,30.15075,-0.69439
1,30.65327,-0.71878
1,31.15578,-0.64448
1,31.65829,-0.69229
1,32.1608,-0.79996
1,32.66332,-0.81028
1,33.16583,-0.94042
1,33.66834,-0.95499
1,34.17085,-0.75267
1,34.67337,-0.62814
1,35.17588,-0.37683
1,35.67839,0.03174
1,36.1809,0.27297
1,36.68342,0.49096
1,37.18593,0.90815
1.5,0.50251,0.27238
1.5,1.00503,0.34783
1.5,1.50754,0.48063
1.5,2.01005,0.81209
1.5,2.51256,0.96295
1.5,3.01508,1.36235
1.5,3.51759,1.85682
1.5,4.0201,2.2315
1.5,4.52261,2.65399
1.5,5.02513,2.63538
1.5,5.52764,2.57781
1.5,6.03015,2.41948
1.5,6.53266,2.11046
1.5,7.03518,1.92841
1.5,7.53769,1.51909
1.5,8.0402,1.15205
1.5,8.54271,0.80392
1.5,9.04523,0.73508
1.5,9.54774,0.43898
1.5,10.05025,0.25108
1.5,10.55276,0.28773
1.5,11.05528,0.06933
1.5,11.55779,-0.06699
1.5,12.0603,-0.30476
1.5,12.56281,-0.48188
1.5,13.06533,-0.80724
1.5,13.56784,-1.05555
1.5,14.07035,-1.14852
1.5,14.57286,-1.43316
1.5,15.07538,-1.57353
1.5,15.57789,-1.66319
1.5,16.0804,-1.69259
1.5,16.58291,-1.73959
1.5,17.08543,-1.80109
1.5,17.58794,-1.72889
1.5,18.09045,-1.81573
1.5,18.59296,-1.62183
1.5,19.09548,-1.80583
1.5,19.59799,-1.84739
1.5,20.1005,-1.88716
1.5,20.60302,-2.09284
1.5,21.10553,-2.10446
1.5,21.60804,-2.44919
1.5,22.11055,-2.44987
1.5,22.61307,-2.50447
1.5,23.11558,-2.53114
1.5,23.61809,-2.29184
1.5,24.1206,-2.16351
1.5,24.62312,-1.90108
1.5,25.12563,-1.69802
1.5,25.62814,-1.41897
1.5,26.13065,-1.30237
1.5,26.63317,-1.26049
1.5,27.13568,-1.10776
1.5,27.63819,-0.88671
1.5,28.1407,-0.80339
1.5,28.64322,-0.71386
1.5,29.14573,-0.80595
1.5,29.64824,-0.67046
1.5,30.15075,-0.72327
1.5,30.65327,-0.68384
1.5,31.15578,-0.75385
1.5,31.65829,-0.73166
1.5,32.1608,-0.80482
1.5,32.66332,-0.77641
1.5,33.16583,-0.81913
1.5,33.66834,-0.75012
1.5,34.17085,-0.54475
1.5,34.67337,-0.28098
1.5,35.17588,0.0394
1.5,35.67839,0.48878
1.5,36.1809,0.63393
1.5,36.68342,0.78025
1.5,37.18593,0.85025
2,0.50251,-0.46182
2,1.00503,-0.38867
2,1.50754,-0.44452
2,2.01005,-0.15891
2,2.51256,0.13993
2,3.01508,0.56118
2,3.51759,1.02803
2,4.0201,1.63012
2,4.52261,2.09539
2,5.02513,2.57483
2,5.52764,2.788
2,6.03015,2.85219
2,6.53266,2.55998
2,7.03518,2.38097
2,7.53769,2.05903
2,8.0402,1.44355
2,8.54271,1.27658
2,9.04523,1.01624
2,9.54774,0.70947
2,10.05025,0.55387
2,10.55276,0.42635
2,11.05528,0.27828
2,11.55779,0.13575
2,12.0603,-0.11209
2,12.56281,-0.09286
2,13.06533,-0.28771
2,13.56784,-0.61996
2,14.07035,-0.8759
2,14.57286,-0.95251
2,15.07538,-1.2292
2,15.57789,-1.3657
2,16.0804,-1.5588
2,16.58291,-1.62568
2,17.08543,-1.73516
2,17.58794,-1.91994
2,18.09045,-2.03922
2,18.59296,-2.12215
2,19.09548,-2.04472
2,19.59799,-2.24317
2,20.1005,-2.27601
2,20.60302,-2.35449
2,21.10553,-2.36811
2,21.60804,-2.50622
2,22.11055,-2.31666
2,22.61307,-2.18579
2,23.11558,-2.05093
2,23.61809,-1.87583
2,24.1206,-1.63187
2,24.62312,-1.40194
2,25.12563,-1.42778
2,25.62814,-0.94378
2,26.13065,-0.91236
2,26.63317,-0.86869
2,27.13568,-0.75728
2,27.63819,-0.62339
2,28.1407,-0.61198
2,28.64322,-0.71304
2,29.14573,-0.43282
2,29.64824,-0.60264
2,30.15075,-0.56689
2,30.65327,-0.73146
2,31.15578,-0.62262
2,31.65829,-0.7285
2,32.1608,-0.69179
2,32.66332,-0.73964
2,33.16583,-0.46233
2,33.66834,-0.30806
2,34.17085,-0.01475
2,34.67337,0.15274
2,35.17588,0.47443
2,35.67839,0.93367
2,36.1809,0.85894
2,36.68342,0.87241
2,37.18593,0.6412
2.5,0.50251,-1.07843
2.5,1.00503,-1.02413
2.5,1.50754,-1.02945
2.5,2.01005,-0.85501
2.5,2.51256,-0.75826
2.5,3.01508,-0.22983
2.5,3.51759,0.11377
2.5,4.0201,0.66889
2.5,4.52261,1.43095
2.5,5.02513,2.00682
2.5,5.52764,2.46959
2.5,6.03015,2.7762
2.5,6.53266,2.97884
2.5,7.03518,2.76749
2.5,7.53769,2.45798
2.5,8.0402,2.14538
2.5,8.54271,1.58962
2.5,9.04523,1.25294
2.5,9.54774,0.98196
2.5,10.05025,0.78905
2.5,10.55276,0.60783
2.5,11.05528,0.45284
2.5,11.55779,0.34522
2.5,12.0603,0.22071
