x,t,u
0.5,0.50251,1.95725
0.5,1.00503,1.67481
0.5,1.50754,1.97353
0.5,2.01005,2.49849
0.5,2.51256,2.59199
0.5,3.01508,1.98693
0.5,3.51759,2.60471
0.5,4.0201,2.29671
0.5,4.52261,2.18588
0.5,5.02513,2.10323
0.5,5.52764,1.74621
0.5,6.03015,1.79339
0.5,6.53266,1.30471
0.5,7.03518,0.8561
0.5,7.53769,0.70013
0.5,8.0402,0.45693
0.5,8.54271,0.58096
0.5,9.04523,-0.05873
0.5,9.54774,-0.09687
0.5,10.05025,-0.60132
0.5,10.55276,-1.26358
0.5,11.05528,-0.60693
0.5,11.55779,-0.76577
0.5,12.0603,-1.4066
0.5,12.56281,-0.76623
0.5,13.06533,-1.90508
0.5,13.56784,-1.5623
0.5,14.07035,-1.61302
0.5,14.57286,-1.05409
0.5,15.07538,-0.90489
0.5,15.57789,-1.03605
0.5,16.0804,-0.71303
0.5,16.58291,-0.7819
0.5,17.08543,-0.81724
0.5,17.58794,-0.14949
0.5,18.09045,0.15717
0.5,18.59296,0.54886
0.5,19.09548,0.56154
0.5,19.59799,0.06254
0.5,20.1005,-0.07584
0.5,20.60302,-0.53518
0.5,21.10553,-0.98336
0.5,21.60804,-1.48142
0.5,22.11055,-0.94795
0.5,22.61307,-2.05959
0.5,23.11558,-2.41321
0.5,23.61809,-2.89291
0.5,24.1206,-2.47307
0.5,24.62312,-3.13919
0.5,25.12563,-2.69271
0.5,25.62814,-2.75628
0.5,26.13065,-2.25238
0.5,26.63317,-2.31638
0.5,27.13568,-2.29951
0.5,27.63819,-1.77099
0.5,28.1407,-1.4176
0.5,28.64322,-1.28243
0.5,29.14573,-0.99784
0.5,29.64824,-1.06232
0.5,30.15075,-0.84419
0.5,30.65327,-0.83575
0.5,31.15578,-0.71093
0.5,31.65829,-0.84167
0.5,32.1608,-1.13518
0.5,32.66332,-0.68862
0.5,33.16583,-0.92068
0.5,33.66834,-1.3121
0.5,34.17085,-0.76267
0.5,34.67337,-1.09033
0.5,35.17588,-0.70646
0.5,35.67839,-0.30916
0.5,36.1809,-0.16963
0.5,36.68342,0.47721
0.5,37.18593,0.23466
1,0.50251,1.16691
1,1.00503,0.9192
1,1.50754,0.99739
1,2.01005,1.28805
1,2.51256,1.63775
1,3.01508,2.0422
1,3.51759,1.98737
1,4.0201,2.73491
1,4.52261,2.66629
1,5.02513,2.03137
1,5.52764,2.63295
1,6.03015,2.44696
1,6.53266,1.92633
1,7.03518,1.23954
1,7.53769,0.71037
1,8.0402,1.03984
1,8.54271,0.43756
1,9.04523,0.70211
1,9.54774,0.26641
1,10.05025,0.31389
1,10.55276,-0.02782
1,11.05528,-0.12524
1,11.55779,-0.52519
1,12.0603,-0.26763
1,12.56281,-0.94335
1,13.06533,-1.08193
1,13.56784,-0.86453
1,14.07035,-1.88053
1,14.57286,-1.94245
1,15.07538,-1.35453
1,15.57789,-1.89282
1,16.0804,-0.95123
1,16.58291,-1.45634
1,17.08543,-1.39535
1,17.58794,-0.52519
1,18.09045,-0.5276
1,18.59296,-0.35369
1,19.09548,-0.61034
1,19.59799,-1.16103
1,20.1005,-0.56019
1,20.60302,-1.37623
1,21.10553,-1.36979
1,21.60804,-1.64358
1,22.11055,-2.24312
1,22.61307,-2.2765
1,23.11558,-2.33974
1,23.61809,-2.52594
1,24.1206,-2.86807
1,24.62312,-2.36268
1,25.12563,-1.91884
1,25.62814,-2.28495
