1,2,3,4,5
6.98487818,6.815930029,6.818944209,6.960078546,6.871219702
0.014457296,5.909786198,5.609239034,0.014048234,6.543668563
0.009438832,0.019916379,0.022830176,0.010234022,0.016860028
0.00659642,0.011568628,0.014243923,0.008686394,0.011414567
0.005569287,0.006921785,0.008809472,0.007111648,0.007879665
0.004420537,0.005435762,0.007175984,0.006378187,0.00684814
0.00390031,0.00456341,0.006031481,0.004289829,0.006077409
0.002433456,0.004059996,0.005405132,0.004000144,0.00555131
0.002276697,0.003584927,0.004725338,0.003451407,0.005031882
0.001958326,0.003299225,0.004345014,0.003239037,0.004682307
0.001854821,0.002774369,0.00334478,0.002941049,0.00416948
0.001767859,0.002523857,0.003041056,0.002788806,0.003867234
0.001717701,0.002308379,0.002839992,0.002626302,0.002534876
0.001625103,0.002169532,0.002706331,0.002538367,0.00245213
0.001568203,0.00178255,0.001883742,0.002440005,0.002328635
0.001465459,0.001624252,0.001752154,0.002378835,0.002253752
0.001410603,0.00159048,0.001712858,0.002266285,0.001782251
0.001361573,0.001553473,0.001682308,0.002196246,0.001689662
0.001331112,0.001524237,0.001651746,0.00210702,0.001633047
0.001310735,0.001477654,0.001627133,0.002041998,0.001605353
0.001293466,0.001444318,0.001598676,0.001944895,0.001519235
0.001271049,0.0011424,0.001576705,0.001881699,0.001483829
0.00125392,0.001047593,0.001529833,0.001837542,0.001449892
0.001199392,0.001035774,0.001495818,0.00180334,0.001428835
0.001164708,0.000952937,0.001437752,0.001766205,0.001414258
0.001146167,0.000908797,0.001396222,0.001739222,0.001402123
0.001132435,0.000901258,0.001376929,0.001651438,0.001384612
0.001048729,0.000888937,0.001361738,0.001594254,0.001370673
0.001002244,0.000880293,0.001276016,0.001570374,0.00128688
0.000993979,0.00076683,0.001219915,0.001549099,0.001232327
0.000982351,0.000715246,0.001211363,0.001531168,0.001224278
0.000973637,0.000708756,0.001201462,0.001516488,0.001215138
0.000933114,0.000692442,0.001193129,0.001502238,0.001207232
0.000908428,0.000686482,0.001179419,0.001489234,0.001195681
0.000901498,0.000679181,0.0011687,0.001474755,0.001186465
0.00089516,0.000675792,0.000925255,0.00146234,0.001133111
0.000888018,0.000666743,0.000852788,0.001443835,0.001096892
0.00088199,0.000661101,0.000847506,0.001429447,0.00109092
0.00087309,0.000652,0.000802408,0.001235386,0.001084717
0.000866501,0.000646398,0.000775621,0.00113994,0.001079007
0.000821642,0.00063723,0.000772204,0.001130136,0.001072624
0.000795507,0.000632415,0.000765404,0.0010811,0.001067072
0.000790992,0.000628414,0.000760866,0.001048908,0.001059413
0.000783972,0.000625568,0.000750543,0.001043887,0.001053259
0.000778849,0.000621717,0.00074357,0.001033144,0.001031311
0.000723406,0.000618598,0.000737627,0.001025245,0.001015338
0.00069359,0.000602913,0.000734175,0.00099843,0.001008302
0.000689982,0.000591929,0.000724176,0.000980045,0.001002643
0.000659818,0.000589414,0.000718353,0.00097597,0.000976878
0.000642192,0.000587334,0.000714297,0.000971379,0.000958378
0.000639563,0.00058451,0.00071225,0.000967426,0.000953749
0.000633513,0.000582328,0.000709236,0.0009615,0.000949772
0.000629396,0.000575467,0.000706865,0.000956926,0.000943952
0.000612515,0.000570607,0.000692352,0.000904988,0.000939346
0.000602188,0.000566786,0.000682235,0.000872854,0.000915261
0.000600016,0.000563804,0.00068041,0.000869097,0.000898232
0.000597454,0.000397134,0.000678629,0.000676382,0.000894713
0.000595335,0.000366043,0.00067695,0.000627099,0.00089136
0.000591755,0.000363541,0.000675093,0.000622916,0.000887799
0.000589184,0.000362892,0.000673433,0.000621735,0.000884531
0.000510111,0.000362178,0.000671246,0.00062068,0.000880685
0.000478654,0.000361566,0.00066944,0.000619459,0.000877373
0.000475994,0.00036075,0.000664604,0.000618431,0.000871969
0.000474023,0.000360119,0.00066096,0.000616702,0.000867701
0.000472592,0.000358183,0.000655525,0.000615409,0.000794249
0.000323613,0.000356815,0.000651506,0.000515034,0.000751961
0.000319292,0.00035572,0.000648393,0.000488921,0.000748831
0.000318355,0.000354856,0.000645986,0.000486502,0.000497188
0.00031779,0.000296719,0.000560322,0.00048517,0.000482829
0.000317431,0.000282192,0.000520708,0.000484349,0.000481682
0.000316939,0.00028107,0.000518299,0.00048093,0.000477751
0.000316555,0.00028047,0.000517159,0.000479331,0.000475707
0.000314048,0.00027998,0.000516234,0.000478631,0.000473952
0.000312287,0.000277261,0.000511086,0.000478078,0.000473075
0.000311982,0.000275386,0.000507278,0.000476479,0.000472355
0.000311612,0.000275078,0.000506527,0.000475319,0.000471707
0.000311306,0.000274722,0.00050582,0.000474481,0.000470975
0.000310543,0.000274408,0.000505044,0.00047383,0.000470338
0.000309958,0.000273883,0.00050435,0.00042225,0.000469437
0.000309122,0.000273454,0.000503469,0.000415582,0.000468708
0.000308483,0.000244488,0.000502739,0.000414662,0.000465682
0.000307917,0.000243366,0.000501147,0.000411049,0.000463405
0.000307476,0.000242383,0.000499926,0.00040919,0.000462675
0.000304193,0.000241708,0.000491165,0.000408481,0.00046205
0.000301838,0.000235935,0.000484844,0.000407922,0.000460823
0.000301531,0.000233895,0.000484175,0.000406969,0.000459848
0.000301031,0.000233558,0.000482879,0.000406284,0.000440437
0.000300672,0.000233148,0.000481856,0.00039005,0.00042861
0.000298677,0.000232881,0.000443182,0.000388817,0.00042784
0.000297272,0.000231284,0.000421498,0.000388317,0.000424862
0.000296881,0.000230352,0.000420184,0.000387981,0.000422505
0.00029664,0.000230046,0.000419612,0.000387661,0.000422121
0.000296424,0.000229855,0.000419135,0.000387386,0.000421742
0.000296176,0.000229688,0.000417025,0.000387049,0.000421362
0.000295959,0.000229506,0.000415378,0.000386781,0.000420987
0.000295619,0.000229348,0.000414927,0.000386172,0.000420611
0.000295342,0.000229133,0.000414541,0.000385735,0.000420239
0.0002868,0.000228959,0.000413879,0.00038479,0.000419867
0.000281114,0.000227966,0.00041335,0.000384113,0.000419497
0.000280647,0.0002272,0.000377346,0.000383855,0.000419129
0.000280401,0.000227069,0.00035794,0.000383636,0.000418759
0.000280194,0.000226859,0.000356827,0.000383197,0.000418396
0.000277681,0.00022669,0.000356598,0.000382854,0.000418025
0.000275676,0.000219065,0.000356378,0.000381053,0.000417666
0.000275468,0.000214735,0.000356143,0.000379703,0.000417286
0.000264252,0.000214386,0.000355922,0.000379502,0.00041693
0.000257034,0.000214222,0.000355662,0.000379041,0.000416517
0.000256322,0.000214085,0.00035543,0.000378671,0.00041615
0.000256112,0.000213741,0.000355031,0.000378019,0.000415571
0.000255975,0.000213467,0.000354695,0.000377498,0.000415088
0.000255857,0.000213276,0.000279315,0.000377236,0.000407178
0.000255574,0.000213122,0.000272703,0.000377019,0.000401179
0.000255334,0.000212396,0.000272288,0.000375528,0.000400733
0.000255043,0.000211781,0.000272073,0.00037435,0.000380346
0.000254797,0.000211689,0.000271915,0.000374165,0.000366818
0.000254544,0.000211578,0.000270725,0.000373815,0.000366031
0.000254329,0.000211475,0.000270115,0.000373532,0.000365724
0.000253924,0.00021124,0.00027001,0.00037069,0.000365463
0.000253584,0.000211031,0.000269905,0.00036847,0.000364067
0.000253449,0.000210779,0.000269813,0.000368228,0.000362897
0.000253334,0.000210571,0.000269712,0.000341136,0.00036269
0.00025305,0.000210433,0.000269626,0.000327092,0.000362481
0.000252808,0.000210309,0.000269508,0.000325851,0.000362274
0.000252565,0.000207552,0.00026941,0.000325646,0.000362065
0.00025236,0.000205317,0.000268954,0.000325475,0.000361861
0.000251933,0.000205134,0.000268587,0.000325343,0.000361652
0.000251581,0.000204891,0.000268514,0.000324818,0.000361449
0.000251428,0.000204693,0.000268442,0.00032441,0.000361239
0.000251313,0.000204587,0.000268367,0.000324249,0.000361038
0.000251128,0.000204494,0.000268296,0.000324132,0.000360822
0.000250974,0.000204271,0.000268215,0.000324027,0.000360623
0.000248416,0.000204078,0.00026814,0.000323925,0.000360381
0.000246542,0.000203921,0.000268024,0.000323819,0.00036017
0.000246119,0.000203798,0.000267922,0.000323717,0.000359769
0.000245751,0.000203377,0.000264507,0.000323606,0.00035943
0.000245449,0.000203047,0.000261969,0.000323505,0.000351833
0.000245282,0.000202925,0.000261811,0.000323368,0.000345875
0.000245149,0.000202836,0.000261677,0.000323252,0.000345497
0.000244384,0.000202733,0.000261568,0.000322629,0.00034462
0.000243823,0.00020265,0.000261284,0.000322109,0.000343872
0.000243627,0.000202077,0.000261041,0.000322011,0.000343687
0.000243458,0.000201581,0.000260984,0.000321891,0.000343516
0.000243322,0.000201502,0.000260933,0.000321787,0.000343282
0.000242745,0.000201407,0.000260858,0.00032155,0.000343076
0.000242292,0.000201326,0.000260793,0.000321352,0.000342183
0.000242144,0.000201022,0.00026021,0.000321045,0.000341412
0.000242035,0.000200751,0.000259706,0.00032079,0.000341231
0.000241946,0.00020067,0.000259654,0.000320641,0.000341069
0.000241828,0.000200602,0.000259554,0.000320515,0.000340834
0.000241725,0.000200464,0.000259468,0.000316179,0.000340633
0.000240908,0.000200349,0.000258152,0.000312809,0.000339321
0.000240211,0.000199983,0.000257002,0.000312517,0.000338199
0.000240122,0.00019966,0.000256921,0.000312417,0.000338047
0.000239905,0.000199591,0.000251839,0.000312328,0.000337866
0.00023972,0.000199526,0.000248869,0.000312175,0.000337707
0.000239536,0.000199456,0.000248479,0.000312046,0.000337441
