u
0.005535451
0.005385611
0.005214733
0.005015894
0.004848313
0.00470901
0.004500958
0.004232364
0.004041071
0.003940756
0.003868854
0.003863085
3.88E-03
0.00379776
0.003655489
0.003538117
0.00343781
0.003306361
0.003116851
0.002818537
0.002419569
0.002029427
0.001671591
0.001322299
0.001024186
0.000739869
0.000406928
9.46E-05
-0.000100331
-0.000219896
-0.000329469
-0.000415374
-0.000527544
-0.000715709
-0.000911997
-0.001090034
-0.001275934
-0.00147669
-0.001727074
-0.002065738
-0.002425138
-0.002702409
-0.002926008
-0.00312564
-0.003257014
-3.38E-03
-3.54E-03
-3.63E-03
-3.60E-03
-0.003530106
-0.003483807
-0.003455919
-0.003479884
-0.003547718
-0.003580067
-0.003594878
-0.003634806
-0.003686535
-0.003771361
-0.003893191
-0.003963093
-0.003923711
-3.84E-03
-3.76E-03
-0.003620561
-0.0034779
-0.003349784
-0.003160548
-0.002906504
-0.002660606
-0.002461425
-0.002311995
-0.002214865
-0.002125639
-0.001995192
-0.001866352
-0.001760145
-0.001655742
-0.001581098
-0.0015067
-0.00134065
-0.001086236
-0.000832805
-0.0005986
-0.000352321
-0.000120338
0.000110689
0.000385217
0.000652004
0.00086045
0.001014612
0.001114972
0.001182775
0.001277345
0.001402704
0.001495587
0.001569065
0.00166368
0.001743629
0.020740795
0.02025291
0.019705516
0.019117607
0.018552386
0.018006758
0.017292726
0.016464107
0.01580575
0.015367347
0.015077886
0.014931577
0.014771723
0.014384293
0.013867273
0.013383167
0.012852725
0.012219005
0.011452169
0.010378983
0.009016394
0.007632163
0.0063447
0.005121053
0.004012419
0.00296575
0.001834299
0.0007639
-1.63E-05
-0.000580776
-0.001048845
-0.001474296
-0.002027041
-0.0027892
-0.003576548
-0.004293125
-0.005059396
-0.005918658
-0.006897677
-0.008076401
-0.009294814
-0.010305327
-0.01111333
-0.011794657
-0.012331117
-0.012794943
-0.013245705
-0.013511294
-0.013498342
-0.013374615
-0.013251184
-0.013185758
-0.013292665
-0.013519392
-0.01368626
-0.013799022
-0.013964054
-0.014176228
-0.01445578
-0.014803741
-0.014996608
-0.014887745
-0.014597487
-0.014206612
-0.013717007
-0.013207387
-0.012659936
-0.011919135
-0.011026728
-0.010190867
-0.009471731
-0.008889724
-0.008478052
-0.008095424
-0.007619984
-0.007147886
-0.006750718
-0.006370017
-0.006002189
-0.005600212
-0.004972435
-0.004104577
-0.003180463
-0.002252321
-0.001315176
-0.000424364
0.000473585
0.001465828
0.002432694
0.003212689
0.00381191
0.004249391
0.004564806
0.004921041
0.005353741
0.005732002
0.006037985
0.006346825
0.006675893
0.043684708
0.042895404
0.04190941
0.040816898
0.039670672
0.038475321
0.037126782
0.035669684
0.03435576
0.033347214
0.032630472
0.032087763
0.031467644
0.030575899
0.029491961
0.02834128
0.027073728
0.025607133
0.023847389
0.021636437
0.019006541
0.016263857
0.013638066
0.011152607
0.008785803
0.006486508
0.004222498
0.002132972
0.000388868
-0.001020387
-0.002215787
-0.003370746
-0.004708637
-0.006279873
-0.007914903
